source_commit,run_tag,scenario,comparison,numerator_mode,denominator_mode,direction,endpoint,n_seeds,paired_design,test,alternative,mean_difference,mean_difference_ci_low,mean_difference_ci_high,mean_difference_ci_method,cohens_dz,cohens_dz_ci_low,cohens_dz_ci_high,cohens_dz_ci_method,raw_directional_p_value,holm_adjusted_p_value,holm_family_size,alpha,positive_mean,cell_supported
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,heatwave,mcp_only_vs_no_context,mcp_only,no_context,mcp_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.007912190118810947,0.006623602474805989,0.009059497779453453,BCa,2.7810073893494085,1.9594221366767823,3.8100175197681345,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,heatwave,pirag_only_vs_no_context,pirag_only,no_context,pirag_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.008135076360720972,0.006908107757303733,0.00925560738918201,BCa,2.962973437449929,2.1667023578129756,3.893510780031307,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,heatwave,agribrain_vs_mcp_only,agribrain,mcp_only,agribrain > mcp_only,ari,20,True,wilcoxon_signed_rank,greater,0.007072020887023633,0.0060120914171554905,0.008069658470255838,BCa,2.957670315723829,2.0166115837929817,3.997607235123448,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,heatwave,agribrain_vs_pirag_only,agribrain,pirag_only,agribrain > pirag_only,ari,20,True,wilcoxon_signed_rank,greater,0.006849134645113608,0.005804095193758471,0.007823628630410074,BCa,2.8910108417627707,1.9332908595977245,3.982873766656273,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,overproduction,mcp_only_vs_no_context,mcp_only,no_context,mcp_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.007947255773300133,0.006798841541580264,0.009345211160377166,BCa,2.6514320771103574,2.0333802258881897,3.3833598787732404,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,overproduction,pirag_only_vs_no_context,pirag_only,no_context,pirag_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.006554163382184064,0.005603479351461628,0.007637301800381283,BCa,2.755098363329337,2.2225900777314207,3.3272290651533822,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,overproduction,agribrain_vs_mcp_only,agribrain,mcp_only,agribrain > mcp_only,ari,20,True,wilcoxon_signed_rank,greater,0.005759217602363198,0.0048690942385034896,0.006631567273299112,BCa,2.8095712783310205,2.1789011433767387,3.6163967759619746,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,overproduction,agribrain_vs_pirag_only,agribrain,pirag_only,agribrain > pirag_only,ari,20,True,wilcoxon_signed_rank,greater,0.007152309993479267,0.006009491602258383,0.008459572546639893,BCa,2.512653015164202,1.771977645518618,3.3349767796133563,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,cyber_outage,mcp_only_vs_no_context,mcp_only,no_context,mcp_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.0028526334722581703,0.002250920522612249,0.003527561303814451,BCa,1.924219255155873,1.2833570058359864,2.5562763752962994,BCa,1.9073486328125e-06,1.9073486328125e-05,20,0.05,True,True
d3286aef28803c715045176008fae6b9c7e3367b,d3286ae_20260829_105800,cyber_outage,pirag_only_vs_no_context,pirag_only,no_context,pirag_only > no_context,ari,20,True,wilcoxon_signed_rank,greater,0.007521065524972892,0.006345982994515562,0.008375426086520985,BCa,3.2369907504786055,2.2191063686349235,5.109972697429655,BCa,9.5367431640625e-07,1.9073486328125e-05,20,0.05,True,True
