scenario,comparison,reference_mode,comparator_mode,metric,n_pairs,reference_mean,comparator_mean,mean_paired_difference,mean_paired_difference_ci_low,mean_paired_difference_ci_high,mean_paired_difference_ci_method,wilcoxon_statistic,p_value_raw_two_sided,p_value_adj_by_within_scenario,cohens_dz,hedges_g_paired
heatwave,standard_rag,agribrain,agribrain_standard_rag,ari,20,0.5412020929904255,0.5477518499015415,-0.006549756911116186,-0.007348997798331978,-0.005850606456695565,BCa,0.0,1.9073486328125e-06,1.049041748046875e-05,-3.7646052534198535,-3.614021043283059
heatwave,no_peer,agribrain,agribrain_no_peer,ari,20,0.5412020929904255,0.5412853787865217,-8.328579609616082e-05,-0.0001417169935719559,-3.714611335906358e-05,BCa,0.0,0.015625,0.04296875,-0.7062982976461709,-0.6780463657403241
heatwave,sign_unconstrained,agribrain,agribrain_sign_unconstrained,ari,20,0.5412020929904255,0.5412020929904255,0.0,0.0,0.0,deterministic,0.0,1.0,1.0,0.0,0.0
overproduction,standard_rag,agribrain,agribrain_standard_rag,ari,20,0.555685945284907,0.5634918925756388,-0.007805947290731918,-0.0092417545171712,-0.006609383831234055,BCa,0.0,1.9073486328125e-06,1.049041748046875e-05,-2.548047910013996,-2.4461259936134363
overproduction,no_peer,agribrain,agribrain_no_peer,ari,20,0.555685945284907,0.5556996181279115,-1.3672843004558511e-05,-7.839087625800545e-05,0.0,BCa,0.0,0.5,1.0,-0.23432776970477706,-0.22495465891658598
overproduction,sign_unconstrained,agribrain,agribrain_sign_unconstrained,ari,20,0.555685945284907,0.555685945284907,0.0,0.0,0.0,deterministic,0.0,1.0,1.0,0.0,0.0
cyber_outage,standard_rag,agribrain,agribrain_standard_rag,ari,20,0.5927044964131947,0.6030807258663562,-0.01037622945316145,-0.011451968880634399,-0.00913866150550012,BCa,0.0,1.9073486328125e-06,1.049041748046875e-05,-3.8479230845362995,-3.6940061611548476
cyber_outage,no_peer,agribrain,agribrain_no_peer,ari,20,0.5927044964131947,0.5927123429000061,-7.846486811374787e-06,-7.339161200251577e-05,0.00012370967311120163,BCa,4.0,0.875,1.0,-0.03860054770361439,-0.03705652579546981
cyber_outage,sign_unconstrained,agribrain,agribrain_sign_unconstrained,ari,20,0.5927044964131947,0.5927044964131947,0.0,0.0,0.0,deterministic,0.0,1.0,1.0,0.0,0.0
adaptive_pricing,standard_rag,agribrain,agribrain_standard_rag,ari,20,0.6481723850971808,0.6565053686277494,-0.008332983530568666,-0.00934641183173256,-0.00721893540299604,BCa,0.0,1.9073486328125e-06,1.049041748046875e-05,-3.3311770881126326,-3.197930004588127
adaptive_pricing,no_peer,agribrain,agribrain_no_peer,ari,20,0.6481723850971808,0.6481643674775643,8.017619616362826e-06,-4.588125274110899e-05,0.00015358247613899144,BCa,3.0,1.0,1.0,0.0397501641734001,0.038160157606464094
adaptive_pricing,sign_unconstrained,agribrain,agribrain_sign_unconstrained,ari,20,0.6481723850971808,0.6481723850971808,0.0,0.0,0.0,deterministic,0.0,1.0,1.0,0.0,0.0
baseline,standard_rag,agribrain,agribrain_standard_rag,ari,20,0.6678235853813443,0.6832029938841037,-0.015379408502759272,-0.016856207165080517,-0.01370070357700854,BCa,0.0,1.9073486328125e-06,1.049041748046875e-05,-4.176816308971414,-4.0097436566125575
baseline,no_peer,agribrain,agribrain_no_peer,ari,20,0.6678235853813443,0.6678356101096405,-1.2024728296078368e-05,-9.03392596294115e-05,0.0001019979521168789,BCa,12.0,0.8125,1.0,-0.054930210085299816,-0.05273300168188782
baseline,sign_unconstrained,agribrain,agribrain_sign_unconstrained,ari,20,0.6678235853813443,0.6678235853813443,0.0,0.0,0.0,deterministic,0.0,1.0,1.0,0.0,0.0
