Scenario,Stressor,Method,n_seeds,Confirmatory_H3,inferential_status,ari_delta,ari_delta_std,waste_delta,waste_delta_std,slca_delta,slca_delta_std,rle_delta,rle_delta_std,carbon_delta,carbon_delta_std,equity_delta,equity_delta_std,constraint_violation_delta,constraint_violation_delta_std,latency_ms_delta,latency_ms_delta_std,fault_injection_scheduled_opportunity_steps_mean,fault_injection_scheduled_opportunity_steps_min,fault_injection_scheduled_opportunity_steps_max,fault_injection_trigger_steps_mean,fault_injection_trigger_steps_min,fault_injection_trigger_steps_max,fault_injected_tool_result_count_mean,fault_injected_tool_result_count_min,fault_injected_tool_result_count_max,treatment_exposure_verified,retained_stressed_decision_ledger_count,retained_stressed_decision_count,retained_stressed_decision_ledger_set_sha256,reused_nominal_decision_ledger_count,reused_nominal_decision_count,reused_nominal_decision_ledger_set_sha256,ari_tost_n,ari_tost_mean,ari_tost_sd,ari_tost_se,ari_tost_margin,ari_tost_p_lower,ari_tost_p_upper,ari_tost_p_tost,ari_tost_ci90_low,ari_tost_ci90_high,ari_tost_ci95_low,ari_tost_ci95_high,ari_tost_one_sided_95_lower_bound,ari_tost_one_sided_95_upper_bound,ari_tost_max_abs_one_sided_95_bound,ari_tost_one_sided_95_bound_below_margin,ari_tost_margin_clearance,ari_tost_equivalent_alpha_0p05,Pass_Mean,Pass_Equivalence,Pass,H3_Pass,ARI_Base,ARI_Stressed,Waste_Base,Waste_Stressed,SLCA_Base,SLCA_Stressed,RLE_Base,RLE_Stressed,Carbon_Base,Carbon_Stressed,Equity_Base,Equity_Stressed,CVR_Base,CVR_Stressed,LatencyMs_Base,LatencyMs_Stressed,Pass_Count,Pass_N,Pass_Rate,Pass_Rate_CI_Low,Pass_Rate_CI_High,Pass_Rate_CI_Method,Threshold_ARI,Threshold_Waste,Threshold_SLCA,Threshold_RLE,Threshold_Carbon,Threshold_Equity,Threshold_CVR,Threshold_LatencyMs
heatwave,sensor_noise,agribrain,20,True,confirmatory_h3,0.0005242490008255,0.0013829900543252,-3.734179026237336e-05,0.0002568271322377,0.0004742433327602,0.0013893321931033,-0.0001607104796501,0.0058535149213265,-6.201706768808753,16.90748833840993,0.000310328433349,0.0011927166085367,0.0,0.0,-0.041215201296533,0.3044483474815548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,6361b10fdc66031b903479d24d896ac2d7d55d8408970dd5b98d1f16d59dd5b9,20,5760,3e289c03e3bdece4860493de6f88270510ae83f9a649407080e6d3b5a0ddff81,20,0.0005242490008255,0.0013829900543252,0.0003092459773677,0.01,0.0,6.100613659346443e-18,6.100613659346443e-18,-1.0478365472053624e-05,0.001058976367123,-0.0001230102685341,0.0011715082701852,-1.0478365472053624e-05,0.001058976367123,0.001058976367123,True,0.0089410236328769,True,True,True,True,True,0.5412020929904255,0.5417263419912508,0.0701929180649374,0.070155576274675,0.6969374945273529,0.697411737860113,0.8653088337478984,0.8651481232682483,2367.537273722344,2361.3355669535345,0.6379679220392372,0.6382782504725862,0.552951388888889,0.552951388888889,13.62420160504472,13.582986403748189,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
heatwave,missing_data,agribrain,20,True,confirmatory_h3,-0.000126692801709,0.0007349113795045,3.843097089125946e-05,0.0001492687461551,-0.0001422838154535,0.0007449332614654,-0.0012140987976223,0.0037076743425772,2.246051033313506,10.288992400744888,-0.0001727863528925,0.0007939693232542,0.0,0.0,-0.0305376798173205,0.3466714296740812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,8fb8b6501fce8da3517e930b422b477c547a60d670cc04549053b5d5ececa6da,20,5760,3e289c03e3bdece4860493de6f88270510ae83f9a649407080e6d3b5a0ddff81,20,-0.000126692801709,0.0007349113795045,0.000164331180201,0.01,0.0,1.199953046062798e-23,1.199953046062798e-23,-0.0004108432373506,0.0001574576339326,-0.000470641914759,0.000217256311341,-0.0004108432373506,0.0001574576339326,0.0004108432373506,True,0.0095891567626493,True,True,True,True,True,0.5412020929904255,0.5410754001887164,0.0701929180649374,0.0702313490358287,0.6969374945273529,0.6967952107118994,0.8653088337478984,0.864094734950276,2367.537273722344,2369.7833247556564,0.6379679220392372,0.6377951356863447,0.552951388888889,0.552951388888889,13.62420160504472,13.5936639252274,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
heatwave,telemetry_delay,agribrain,20,True,confirmatory_h3,-0.0011190583117059,0.0015278671416795,0.0003190582331908,0.000331902846436,-0.0011199817046202,0.0015312535785796,-0.0006662179494171,0.0058058943430973,17.245456916055765,20.6983174850553,-0.0016220843299383,0.0016440072002285,0.0,0.0,-0.0116351804333843,0.2255650033396351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,0f3f7cbb337852db91be66435636a0eaa1ee253614b80ad7eadb9001f132a22d,20,5760,3e289c03e3bdece4860493de6f88270510ae83f9a649407080e6d3b5a0ddff81,20,-0.0011190583117059,0.0015278671416795,0.0003416414789383,0.01,1.1102230246251563e-16,1.980022158391177e-18,1.1102230246251563e-16,-0.001709801802715,-0.0005283148206969,-0.0018341221451076,-0.0004039944783043,-0.001709801802715,-0.0005283148206969,0.001709801802715,True,0.0082901981972849,True,True,True,True,True,0.5412020929904255,0.5400830346787193,0.0701929180649374,0.0705119762981283,0.6969374945273529,0.6958175128227326,0.8653088337478984,0.8646426157984815,2367.537273722344,2384.782730638399,0.6379679220392372,0.6363458377092989,0.552951388888889,0.552951388888889,13.62420160504472,13.612566424611336,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
heatwave,mcp_fault_injection,agribrain,20,True,confirmatory_h3,-0.0008885163644217,0.0006429551942013,0.0002177623997138,0.0001770829973402,-0.0009113572073924,0.0006413653694915,-0.0021935011175429,0.0035744281008601,14.118811949213567,10.040945326659372,-0.0011818784626752,0.0009399633932882,0.0,0.0,-0.2097640212418304,0.3669348388934737,28.0,28.0,28.0,28.0,28.0,28.0,70.9,66.0,80.0,True,20,5760,8821c8a68e29ef979ffd8fd4e4a191c6a95f5a929673b850be70655d3dbcb9db,20,5760,3e289c03e3bdece4860493de6f88270510ae83f9a649407080e6d3b5a0ddff81,20,-0.0008885163644217,0.0006429551942013,0.000143769152072,0.01,0.0,2.422308887897752e-25,2.422308887897752e-25,-0.0011371123225541,-0.0006399204062893,-0.0011894286579904,-0.000587604070853,-0.0011371123225541,-0.0006399204062893,0.0011371123225541,True,0.0088628876774458,True,True,True,True,True,0.5412020929904255,0.5403135766260038,0.0701929180649374,0.0704106804646513,0.6969374945273529,0.6960261373199605,0.8653088337478984,0.8631153326303556,2367.537273722344,2381.6560856715564,0.6379679220392372,0.636786043576562,0.552951388888889,0.552951388888889,13.62420160504472,13.414437583802888,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
heatwave,compounded,agribrain,20,True,confirmatory_h3,-0.0012816833324595,0.0017813074258253,0.000409790848083,0.0004308202868905,-0.0012965003810331,0.001796151302273,-0.0027465525394717,0.0080962169598349,21.57369932464335,24.557510498894224,-0.0020507058884529,0.0020449924689866,0.0,0.0,-0.1533884736191893,0.3077451221597022,28.0,28.0,28.0,28.0,28.0,28.0,71.4,66.0,86.0,True,20,5760,06318f59463192eaad4c54d6e49735bcfcc48018413504a37334119f4beb4778,20,5760,3e289c03e3bdece4860493de6f88270510ae83f9a649407080e6d3b5a0ddff81,20,-0.0012816833324595,0.0017813074258253,0.000398312449297,0.01,3.1086244689504387e-15,2.6372344388095187e-17,3.1086244689504387e-15,-0.0019704184577765,-0.0005929482071425,-0.0021153608700085,-0.0004480057949104,-0.0019704184577765,-0.0005929482071425,0.0019704184577765,True,0.0080295815422234,True,True,True,True,True,0.5412020929904255,0.539920409657966,0.0701929180649374,0.0706027089130204,0.6969374945273529,0.6956409941463196,0.8653088337478984,0.8625622812084266,2367.537273722344,2389.110973046986,0.6379679220392372,0.6359172161507843,0.552951388888889,0.552951388888889,13.62420160504472,13.47081313142553,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
overproduction,sensor_noise,agribrain,20,True,confirmatory_h3,0.0006480200746853,0.0011848682286831,-7.212156345950128e-05,0.0002655840710323,0.0006290266154178,0.0011466907419765,0.0002351995253555,0.0056820601396569,-7.889179211327564,15.949690336382613,0.0003056567154467,0.0013354735042935,0.0,0.0,-0.8549236517865213,0.2611218118223427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,6d4f8825c721f699ace8c1d34f05c42e21de8eff48455eef285410ddcc78a47d,20,5760,02b25e3d162608cf85fc77b7212a1d1cec299e763b30c8eb0528b9a773b7d965,20,0.0006480200746853,0.0011848682286831,0.0002649445903715,0.01,0.0,4.337994273464676e-19,4.337994273464676e-19,0.0001898956902388,0.0011061444591317,9.348467395236432e-05,0.0012025554754182,0.0001898956902388,0.0011061444591317,0.0011061444591317,True,0.0088938555408682,True,True,True,True,True,0.555685945284907,0.5563339653595921,0.08251225894646,0.0824401373830004,0.6710008245714183,0.671629851186836,0.8602743746179724,0.8605095741433282,2237.044045251665,2229.154866040338,0.6163536437278136,0.6166593004432603,0.7041666666666667,0.7041666666666667,15.400211800846996,14.545288149060474,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
overproduction,missing_data,agribrain,20,True,confirmatory_h3,0.0001478160415266,0.0005653134644819,-2.999351214218529e-05,9.926217290038995e-05,0.0001455635672371,0.0005515713034478,0.0002338225777187,0.0019574768923099,-1.8708168577719788,8.001144524588122,0.0001369661191589,0.0004482991488611,0.0,0.0,-0.9242316080619478,0.2854836705669952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,01b1173757c507361864e1bba0e09071441aac0d74b09a04b3f2b71b09e1a7b0,20,5760,02b25e3d162608cf85fc77b7212a1d1cec299e763b30c8eb0528b9a773b7d965,20,0.0001478160415266,0.0005653134644819,0.0001264079335177,0.01,0.0,1.4070329205987048e-25,1.4070329205987048e-25,-7.076006395548322e-05,0.0003663921470088,-0.000116758803994,0.0004123908870473,-7.076006395548322e-05,0.0003663921470088,0.0003663921470088,True,0.0096336078529911,True,True,True,True,True,0.555685945284907,0.5558337613264336,0.08251225894646,0.0824822654343178,0.6710008245714183,0.6711463881386555,0.8602743746179724,0.8605081971956912,2237.044045251665,2235.1732283938936,0.6163536437278136,0.6164906098469725,0.7041666666666667,0.7041666666666667,15.400211800846996,14.475980192785048,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
overproduction,telemetry_delay,agribrain,20,True,confirmatory_h3,-0.0004983658603434,0.0022800647708386,0.0001392096546802,0.000597883253212,-0.000485677194824,0.0022704880888775,0.0003280980672916,0.0097204202869248,7.106377090261958,35.48990383518707,-0.0007265303881169,0.0032008271664092,0.0,0.0,-0.8729243211241233,0.335097332832508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,20,5760,522285f1cff425edca4d077aa5dce550df9a7b0c2afbcf07812f152036055ee3,20,5760,02b25e3d162608cf85fc77b7212a1d1cec299e763b30c8eb0528b9a773b7d965,20,-0.0004983658603434,0.0022800647708386,0.0005098379820697,0.01,5.728750807065809e-14,9.367459595828898e-15,5.728750807065809e-14,-0.0013799434437001,0.0003832117230132,-0.0015654690206664,0.0005687372999796,-0.0013799434437001,0.0003832117230132,0.0013799434437001,True,0.0086200565562998,True,True,True,True,True,0.555685945284907,0.5551875794245635,0.08251225894646,0.0826514686011402,0.6710008245714183,0.6705151473765943,0.8602743746179724,0.860602472685264,2237.044045251665,2244.150422341928,0.6163536437278136,0.6156271133396964,0.7041666666666667,0.7041666666666667,15.400211800846996,14.527287479722869,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
overproduction,mcp_fault_injection,agribrain,20,True,confirmatory_h3,-0.0009562232455288,0.0008765336060394,0.0002413052143697,0.0002253021671698,-0.0009457345606038,0.0008619009843647,-0.0009124774950484,0.0019606411850367,14.57842164432509,13.947798950516155,-0.0012430349221765,0.0011959499580535,0.0,0.0,-0.9106664303948896,0.3025265897600325,28.0,28.0,28.0,28.0,28.0,28.0,92.4,89.0,98.0,True,20,5760,aeb97174c8d2659833613d5e45183f610dbd6229cd2c71ece533cf90ef8275a5,20,5760,02b25e3d162608cf85fc77b7212a1d1cec299e763b30c8eb0528b9a773b7d965,20,-0.0009562232455288,0.0008765336060394,0.0001959988727667,0.01,0.0,7.57568278499039e-23,7.57568278499039e-23,-0.001295131327451,-0.0006173151636066,-0.0013664536008665,-0.0005459928901911,-0.001295131327451,-0.0006173151636066,0.001295131327451,True,0.0087048686725489,True,True,True,True,True,0.555685945284907,0.5547297220393781,0.08251225894646,0.0827535641608297,0.6710008245714183,0.6700550900108142,0.8602743746179724,0.859361897122924,2237.044045251665,2251.6224668959903,0.6163536437278136,0.6151106088056368,0.7041666666666667,0.7041666666666667,15.400211800846996,14.489545370452106,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
overproduction,compounded,agribrain,20,True,confirmatory_h3,-0.000586537523852,0.0023144238219111,0.0002308339678605,0.0006232241627369,-0.0006267186478041,0.0022931553587707,-0.0039600834653224,0.0125560058357467,11.373443335852722,33.88391821945035,-0.0013458655685044,0.0031201616474239,0.0,0.0,-0.909905231997578,0.2959709002538596,28.0,28.0,28.0,28.0,28.0,28.0,92.85,86.0,101.0,True,20,5760,63e3291658a7ff4de6162563ae53c8b35e31eeb2f4da1d521ef9e12456cb9576,20,5760,02b25e3d162608cf85fc77b7212a1d1cec299e763b30c8eb0528b9a773b7d965,20,-0.000586537523852,0.0023144238219111,0.0005175208994538,0.01,8.870681966755002e-14,1.0563090104181843e-14,8.870681966755002e-14,-0.0014813998917457,0.0003083248440415,-0.0016697212150679,0.0004966461673638,-0.0014813998917457,0.0003083248440415,0.0014813998917457,True,0.0085186001082542,True,True,True,True,True,0.555685945284907,0.5550994077610548,0.08251225894646,0.0827430929143205,0.6710008245714183,0.670374105923614,0.8602743746179724,0.85631429115265,2237.044045251665,2248.4174885875186,0.6163536437278136,0.615007778159309,0.7041666666666667,0.7041666666666667,15.400211800846996,14.490306568849416,20,20,1.0,0.8315665290169146,1.0,Clopper-Pearson exact 95%,0.01,0.04,-0.1,-0.12,250.0,-0.06,0.15,100.0
