Scenario,Method,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,Carbon,Carbon_ci_low,Carbon_ci_high,Equity,Equity_ci_low,Equity_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,OperatingEnvelopeViolationRate,OperatingEnvelopeViolationRate_ci_low,OperatingEnvelopeViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
heatwave,static,0.4014,0.3909,0.4085,0.0000,0.0000,0.0000,0.1125,0.1103,0.1150,0.5360,0.5353,0.5367,4880,4846,4911,0.5006,0.4998,0.5014,0.5530,0.5464,0.5720,0.5491,0.5458,0.5526,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
heatwave,hybrid_rl,0.5233,0.5113,0.5330,0.8381,0.7161,0.8749,0.0738,0.0723,0.0752,0.6797,0.6759,0.6841,2614,2546,2678,0.6185,0.6142,0.6231,0.5530,0.5464,0.5737,0.5491,0.5457,0.5524,0.0935,0.0796,0.1098,0.0872,0.0721,0.1089,20
heatwave,no_pinn,0.5412,0.5276,0.5520,0.8651,0.7964,0.8918,0.0702,0.0685,0.0717,0.6970,0.6938,0.6999,2366,2321,2419,0.6380,0.6345,0.6410,0.5530,0.5465,0.5740,0.5491,0.5457,0.5526,0.0389,0.0319,0.0476,0.0991,0.0819,0.1222,20
heatwave,no_slca,0.5312,0.5179,0.5416,0.8426,0.7803,0.8686,0.0723,0.0705,0.0739,0.6868,0.6827,0.6903,2508,2453,2574,0.6276,0.6233,0.6313,0.5530,0.5464,0.5738,0.5491,0.5457,0.5524,0.0607,0.0492,0.0740,0.1117,0.0938,0.1379,20
heatwave,no_context,0.5262,0.5128,0.5363,0.8435,0.7887,0.8672,0.0734,0.0717,0.0749,0.6819,0.6782,0.6851,2581,2531,2641,0.6221,0.6183,0.6254,0.5530,0.5465,0.5733,0.5491,0.5457,0.5524,0.0751,0.0625,0.0882,0.1172,0.0976,0.1481,20
heatwave,mcp_only,0.5341,0.5210,0.5446,0.8640,0.7987,0.8899,0.0713,0.0696,0.0729,0.6901,0.6865,0.6934,2453,2405,2512,0.6326,0.6289,0.6356,0.5530,0.5465,0.5738,0.5491,0.5457,0.5526,0.0408,0.0333,0.0494,0.1024,0.0853,0.1267,20
heatwave,pirag_only,0.5344,0.5205,0.5447,0.8445,0.7859,0.8685,0.0721,0.0705,0.0737,0.6897,0.6862,0.6929,2484,2435,2542,0.6278,0.6240,0.6312,0.5530,0.5465,0.5736,0.5491,0.5457,0.5526,0.0732,0.0609,0.0851,0.1154,0.0959,0.1447,20
heatwave,agribrain,0.5412,0.5279,0.5517,0.8653,0.7988,0.8912,0.0702,0.0685,0.0718,0.6969,0.6937,0.6998,2368,2322,2417,0.6380,0.6344,0.6409,0.5530,0.5465,0.5748,0.5491,0.5457,0.5524,0.0386,0.0310,0.0475,0.1005,0.0832,0.1252,20
overproduction,static,0.4088,0.4030,0.4146,0.0000,0.0000,0.0000,0.1244,0.1198,0.1271,0.5158,0.5153,0.5162,4653,4630,4677,0.4867,0.4860,0.4873,0.7042,0.6998,0.7089,0.7042,0.6998,0.7089,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
overproduction,hybrid_rl,0.5363,0.5299,0.5416,0.8106,0.7845,0.8344,0.0871,0.0846,0.0887,0.6516,0.6462,0.6560,2528,2465,2610,0.5949,0.5892,0.5995,0.7042,0.6995,0.7085,0.7042,0.6997,0.7087,0.1603,0.1420,0.1888,0.0797,0.0691,0.0930,20
