Scenario,Window,Method,dARI_vs_static,dWaste_vs_static,dSLCA_vs_static,dRLE_vs_static
heatwave,early,hybrid_rl,0.10226510417713963,-0.03237520963321968,0.0875960188909003,0.0
heatwave,early,agribrain,0.16957742908782092,-0.05795014999244548,0.1421900261690675,0.0
heatwave,early,mcp_only,0.14107834474055903,-0.055358623172694764,0.11422991544854832,0.0
heatwave,early,pirag_only,0.14514444174299101,-0.05747441420933885,0.1168767733073729,0.0
heatwave,early,no_context,0.15890645661976532,-0.056822909145000516,0.13147915834741453,0.0
heatwave,mid,hybrid_rl,0.15019573311849865,-0.08202005228210506,0.14810441129427726,0.9242782319439491
heatwave,mid,agribrain,0.22683232400873427,-0.11533742434651688,0.16590076620721367,0.9481377299121502
heatwave,mid,mcp_only,0.22407219935903228,-0.10910660290343291,0.159116626097547,0.7765429104498177
heatwave,mid,pirag_only,0.23339897531926607,-0.1141366067511462,0.17022725987223858,0.9409424756728947
heatwave,mid,no_context,0.21233714636855633,-0.10928316718819753,0.15369895038102216,0.9186787548497204
heatwave,late,hybrid_rl,0.1130885309959273,-0.06701459660036291,0.17885060597626246,0.6550825650331864
heatwave,late,agribrain,0.3567278227145339,-0.08225284328644755,0.16785374807922804,0.0
heatwave,late,mcp_only,0.3467050559673743,-0.08122154373402721,0.15722570232562894,0.0
heatwave,late,pirag_only,0.33554786811340237,-0.07310302391378126,0.151741686419415,0.0
heatwave,late,no_context,0.3130422929988174,-0.07241114910190694,0.12680998131722598,0.0
overproduction,early,hybrid_rl,0.12131531916310961,-0.04587022225106615,0.10265271169815715,0.0
overproduction,early,agribrain,0.14717397066404042,-0.05980261925172436,0.12203014736062101,0.0
overproduction,early,mcp_only,0.16662222484704464,-0.058541949013396925,0.1432076697575938,0.0
overproduction,early,pirag_only,0.15346746328758937,-0.054736639779729805,0.13227082683266922,0.0
overproduction,early,no_context,0.13500240086598186,-0.04816471489480327,0.1159304106407677,0.0
overproduction,mid,hybrid_rl,0.15931612200828899,-0.07996283691112653,0.14728408260993936,0.9634592197026763
overproduction,mid,agribrain,0.21603097794360754,-0.09843382567540107,0.15158625401554165,0.0
overproduction,mid,mcp_only,0.220396105439488,-0.09880179622590271,0.15789135980947305,0.0
overproduction,mid,pirag_only,0.20992396316047762,-0.0891799341462276,0.15066640391944447,0.0
overproduction,mid,no_context,0.19902692958608176,-0.089232496836532,0.13980500911241106,1.0
overproduction,late,hybrid_rl,0.16296842648026078,-0.07095280175852414,0.1674555276597549,0.8686058647883037
overproduction,late,agribrain,0.2601195579312944,-0.08465386726078189,0.14444421686234876,0.0
overproduction,late,mcp_only,0.23910852170875685,-0.07657748155432317,0.1283259440524145,0.0
overproduction,late,pirag_only,0.25418281744522675,-0.08391031051647294,0.13962312442225522,0.0
overproduction,late,no_context,0.24740536387144962,-0.07754832294047731,0.13683858150667438,0.0
cyber_outage,early,hybrid_rl,0.08859314058450263,-0.03183061244506487,0.07372916688426645,0.0
cyber_outage,early,agribrain,0.16721797494270352,-0.07111542067417631,0.131037767668288,0.0
cyber_outage,early,mcp_only,0.15193749107044785,-0.0660712538706507,0.1180574618439385,0.0
cyber_outage,early,pirag_only,0.16676348968264998,-0.06505269910601175,0.1344925353205364,0.0
cyber_outage,early,no_context,0.13642319255976265,-0.05869074532439938,0.10735581343594713,0.0
cyber_outage,mid,hybrid_rl,0.15118770443363755,-0.07495975555173282,0.13762332614819428,0.8687141578939495
cyber_outage,mid,agribrain,0.20429888835589122,-0.09083099641490881,0.1440485756346731,0.0
cyber_outage,mid,mcp_only,0.20877371617016632,-0.11413903595524309,0.13516001127447796,0.0
cyber_outage,mid,pirag_only,0.22402679172947532,-0.10083854408289379,0.15982674866606272,0.0
